ConvertedCompYearly,YearsCodePro,Country,EdLevel,DevType,Employment,Year
48472.0,2,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
,,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"Student, full-time",2021
,,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"Student, part-time",2021
14124.0,3,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, full-stack",Employed full-time,2021
52968.0,5,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
77556.0,2,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,Employed full-time,2021
,2,Canada,Some college/university study without earning a degree,Scientist,Employed full-time,2021
,,India,Some college/university study without earning a degree,,"Student, full-time",2021
48644.0,7,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end",Employed full-time,2021
19452.0,20,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",Employed full-time,2021
23664.0,6,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Designer",Employed full-time,2021
,3,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",Employed full-time,2021
215000.0,23,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack",Employed full-time,2021
13962.0,5,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",Employed full-time,2021
56723.0,16,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications;Developer, QA or test",Employed full-time,2021
,,Canada,"Other doctoral degree (Ph.D., Ed.D., etc.)",,Retired,2021
56211.0,5,Germany,Some college/university study without earning a degree,"Engineer, data;Data scientist or machine learning specialist;Developer, back-end",Employed full-time,2021
59454.0,5,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Database administrator;Developer, QA or test;Developer, embedded applications or devices;Data or business analyst;Designer;Product manager;Senior Executive (C-Suite, VP, etc.)",Employed full-time,2021
81074.0,9,Germany,"Associate degree (A.A., A.S., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, embedded applications or devices",Employed full-time,2021
,,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"Student, full-time",2021
1000000.0,46,United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)",Scientist,Employed part-time,2021
,9,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Data or business analyst","Independent contractor, freelancer, or self-employed",2021
,10,Viet Nam,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, back-end;Engineering manager",Employed full-time,2021
31560.0,4,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Product manager",Employed full-time,2021
98321.0,38,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Engineer, data;Developer, back-end",Employed full-time,2021
