ConvertedCompYearly,YearsCodePro,Country,EdLevel,DevType,Employment,Year
48000.0,4,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Independent contractor, freelancer, or self-employed",2021
12120.0,1,Dominican Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Engineer, data;Student",Employed full-time,2021
73644.0,20,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
58779.0,5,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, embedded applications or devices",Employed full-time,2021
5837292.0,24,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Employed full-time,2021
51708.0,9,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, game or graphics",Employed part-time,2021
275000.0,15,United States of America,"Associate degree (A.A., A.S., etc.)",DevOps specialist,Employed full-time,2021
195000.0,29,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Engineer, data;Developer, back-end",Employed full-time,2021
107978.0,12,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Product manager",Employed full-time,2021
41077.0,4,Spain,Something else,"Developer, full-stack;Developer, QA or test;DevOps specialist",Employed full-time,2021
41077.0,5,Spain,"Associate degree (A.A., A.S., etc.)","Developer, back-end",Employed full-time,2021
1900.0,2,"Iran, Islamic Republic of...","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist;Academic researcher;Scientist;Student,"Independent contractor, freelancer, or self-employed",2021
41256.0,22,Portugal,"Professional degree (JD, MD, etc.)","Developer, back-end",Employed full-time,2021
194580.0,12,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Database administrator;Scientist;Data or business analyst","Independent contractor, freelancer, or self-employed",2021
130000.0,22,United States of America,Some college/university study without earning a degree,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator","Independent contractor, freelancer, or self-employed",2021
82695.0,17,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Other (please specify):",Employed full-time,2021
89721.0,6,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack",Employed full-time,2021
789588.0,15,Canada,"Associate degree (A.A., A.S., etc.)","Developer, front-end",Employed full-time,2021
17100.0,3,"Iran, Islamic Republic of...","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Employed part-time,2021
2340.0,2,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end;Designer","Independent contractor, freelancer, or self-employed",2021
24012.0,,South Africa,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack",Employed full-time,2021
125000.0,6,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
150000.0,5,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
129259.0,13,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Employed full-time,2021
100000.0,3,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
90193.0,8,Australia,"Associate degree (A.A., A.S., etc.)","Developer, mobile;Engineering manager",Employed full-time,2021
9075.0,4,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
86478.0,26,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices",Employed full-time,2021
155111.0,11,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
39996.0,2,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Employed full-time,2021
